epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,18961.7,0.76646,0.4633,1.23156,0.88259,0.89733,0.89647,0.71109,0.83636,0.49827,1.38073,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,19142.1,0.7773,0.47289,1.24001,0.89755,0.88646,0.89448,0.70952,0.83591,0.50138,1.381,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,19322.3,0.77009,0.47671,1.23058,0.88787,0.89474,0.89437,0.71,0.83666,0.50145,1.38285,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,19502.7,0.7652,0.47343,1.2271,0.88555,0.89672,0.8926,0.7088,0.83776,0.49981,1.385,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,19682.8,0.77041,0.46789,1.22962,0.88671,0.89636,0.89367,0.70925,0.84094,0.50074,1.38982,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,19863.1,0.75919,0.46798,1.21963,0.88603,0.89866,0.89386,0.71001,0.84083,0.50089,1.39123,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,20042.8,0.75894,0.46041,1.21984,0.88777,0.89394,0.89426,0.71169,0.84352,0.5009,1.39584,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,20222.5,0.75985,0.45864,1.23646,0.88978,0.89399,0.89281,0.71196,0.84282,0.50393,1.3956,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,20401.9,0.7594,0.46218,1.23056,0.88947,0.89272,0.89323,0.71132,0.84209,0.5047,1.39597,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,20581.8,0.76472,0.46902,1.23776,0.88954,0.8917,0.89109,0.70982,0.84176,0.50541,1.39538,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,20761.4,0.77064,0.46271,1.24154,0.88274,0.89646,0.89078,0.71084,0.84131,0.50873,1.39546,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,20941.7,0.74346,0.45569,1.22353,0.88477,0.89557,0.89061,0.70943,0.84061,0.50794,1.39505,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
