epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,16141.8,0.87836,1.21708,1.24254,0.92059,0.88057,0.9161,0.71948,0.84348,0.89859,1.32999,0.0181619,0.00605395,0.0181619,0.00605395,0.0181619,0.00605395,0.0181619,0.00605395
81,16342.4,0.87884,1.20005,1.2497,0.91156,0.89015,0.91662,0.72155,0.84357,0.90204,1.33138,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004
82,16543.7,0.86495,1.1613,1.238,0.91772,0.88917,0.91483,0.72086,0.84431,0.90507,1.33612,0.0178621,0.00595405,0.0178621,0.00595405,0.0178621,0.00595405,0.0178621,0.00595405
83,16744.6,0.87448,1.17045,1.24339,0.91662,0.89218,0.91693,0.72062,0.84411,0.90263,1.33653,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041,0.0177123,0.0059041
84,16945.9,0.86995,1.16408,1.24231,0.91013,0.89158,0.91527,0.72071,0.84149,0.904,1.33582,0.0175625,0.00585415,0.0175625,0.00585415,0.0175625,0.00585415,0.0175625,0.00585415
85,17147.2,0.88026,1.19365,1.24397,0.91171,0.89118,0.91594,0.72283,0.83913,0.9023,1.33461,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042
86,17347.8,0.86344,1.18585,1.23556,0.90942,0.89536,0.91761,0.72278,0.8377,0.89926,1.33422,0.0172627,0.00575425,0.0172627,0.00575425,0.0172627,0.00575425,0.0172627,0.00575425
87,17549,0.87036,1.15448,1.2372,0.90772,0.89584,0.91572,0.72224,0.83675,0.90059,1.33146,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043,0.0171129,0.0057043
88,17750.3,0.86703,1.173,1.23093,0.90871,0.89486,0.91473,0.72108,0.83513,0.89635,1.32966,0.016963,0.00565435,0.016963,0.00565435,0.016963,0.00565435,0.016963,0.00565435
89,17951.6,0.86452,1.14185,1.23252,0.90724,0.89487,0.9152,0.72027,0.83623,0.89289,1.33046,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
90,18152.6,0.84879,1.12611,1.21475,0.9004,0.897,0.91387,0.72052,0.8357,0.89452,1.3284,0.0166633,0.00555445,0.0166633,0.00555445,0.0166633,0.00555445,0.0166633,0.00555445
91,18353.8,0.8624,1.15697,1.23193,0.92122,0.88208,0.91448,0.7206,0.83526,0.89678,1.32774,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045
92,18554.9,0.85597,1.15916,1.2258,0.9169,0.88517,0.91359,0.72029,0.83417,0.89811,1.32698,0.0163636,0.00545455,0.0163636,0.00545455,0.0163636,0.00545455,0.0163636,0.00545455
93,18755.7,0.85926,1.13664,1.23745,0.92003,0.8861,0.91099,0.71844,0.83589,0.89709,1.32685,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046
94,18956.8,0.85677,1.1609,1.22749,0.91749,0.89007,0.9105,0.71978,0.83408,0.89637,1.32506,0.0160639,0.00535465,0.0160639,0.00535465,0.0160639,0.00535465,0.0160639,0.00535465
95,19157.8,0.86004,1.13339,1.22634,0.91045,0.89251,0.91147,0.72167,0.83199,0.89352,1.3238,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047,0.0159141,0.0053047
96,19358.9,0.84298,1.12092,1.21989,0.91451,0.89383,0.91042,0.72147,0.8307,0.89175,1.32233,0.0157643,0.00525475,0.0157643,0.00525475,0.0157643,0.00525475,0.0157643,0.00525475
97,19560.5,0.84302,1.13468,1.22016,0.91646,0.89134,0.91045,0.72248,0.83097,0.89027,1.32192,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048
98,19762,0.84518,1.12914,1.2192,0.91037,0.89665,0.90952,0.72121,0.83077,0.89164,1.32063,0.0154645,0.00515485,0.0154645,0.00515485,0.0154645,0.00515485,0.0154645,0.00515485
99,19963.5,0.84848,1.11639,1.22962,0.92059,0.88937,0.91112,0.72261,0.82949,0.8934,1.32,0.0153147,0.0051049,0.0153147,0.0051049,0.0153147,0.0051049,0.0153147,0.0051049
100,20164.5,0.84626,1.11188,1.23118,0.90797,0.9002,0.91174,0.72308,0.82963,0.8911,1.32076,0.0151649,0.00505495,0.0151649,0.00505495,0.0151649,0.00505495,0.0151649,0.00505495
101,20365.6,0.84074,1.11907,1.22362,0.92078,0.88878,0.91172,0.72438,0.83068,0.88965,1.32169,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
102,20566.8,0.82543,1.09681,1.21106,0.91971,0.88981,0.91006,0.72238,0.83187,0.89063,1.32304,0.0148651,0.00495505,0.0148651,0.00495505,0.0148651,0.00495505,0.0148651,0.00495505
103,20767.2,0.83753,1.08907,1.22249,0.91691,0.88972,0.90961,0.72276,0.83288,0.88982,1.32292,0.0147153,0.0049051,0.0147153,0.0049051,0.0147153,0.0049051,0.0147153,0.0049051
104,20968.1,0.84406,1.09013,1.21289,0.91742,0.89151,0.90908,0.72343,0.83267,0.88986,1.32336,0.0145654,0.00485515,0.0145654,0.00485515,0.0145654,0.00485515,0.0145654,0.00485515
105,21169.2,0.83539,1.08779,1.20634,0.91652,0.8904,0.90923,0.72447,0.83258,0.88875,1.32315,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052
106,21370.8,0.83676,1.10752,1.20432,0.91565,0.89114,0.90961,0.72438,0.83227,0.88858,1.32248,0.0142657,0.00475525,0.0142657,0.00475525,0.0142657,0.00475525,0.0142657,0.00475525
107,21571.9,0.83605,1.08375,1.20552,0.92006,0.88856,0.91066,0.7253,0.83178,0.88596,1.32225,0.0141159,0.0047053,0.0141159,0.0047053,0.0141159,0.0047053,0.0141159,0.0047053
108,21773,0.82896,1.05754,1.21426,0.92,0.88839,0.91081,0.7242,0.83138,0.88449,1.322,0.013966,0.00465535,0.013966,0.00465535,0.013966,0.00465535,0.013966,0.00465535
109,21974.5,0.83144,1.06242,1.20783,0.91898,0.88981,0.91111,0.72392,0.83037,0.88604,1.32195,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054
110,22175.5,0.83182,1.07244,1.20616,0.91919,0.88868,0.91084,0.72446,0.82962,0.88334,1.32165,0.0136663,0.00455545,0.0136663,0.00455545,0.0136663,0.00455545,0.0136663,0.00455545
111,22377,0.83525,1.06155,1.212,0.92048,0.88999,0.91144,0.7259,0.82935,0.88307,1.32154,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
112,22578.4,0.83444,1.07621,1.2135,0.92061,0.89062,0.91151,0.72592,0.82853,0.87946,1.32135,0.0133666,0.00445555,0.0133666,0.00445555,0.0133666,0.00445555,0.0133666,0.00445555
113,22779.9,0.82582,1.05843,1.2099,0.92089,0.89281,0.91153,0.72701,0.82777,0.87913,1.32077,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056
114,22981,0.82602,1.07272,1.19976,0.92156,0.89375,0.91133,0.72685,0.82744,0.87869,1.32015,0.013067,0.00435565,0.013067,0.00435565,0.013067,0.00435565,0.013067,0.00435565
115,23182.4,0.8105,1.05203,1.19432,0.91989,0.89298,0.91185,0.72696,0.82741,0.87798,1.32008,0.0129171,0.0043057,0.0129171,0.0043057,0.0129171,0.0043057,0.0129171,0.0043057
116,23383.3,0.82826,1.0682,1.20482,0.9197,0.89443,0.91175,0.72642,0.82712,0.87876,1.31981,0.0127673,0.00425575,0.0127673,0.00425575,0.0127673,0.00425575,0.0127673,0.00425575
117,23584.6,0.81628,1.03563,1.19121,0.92061,0.89442,0.91259,0.72641,0.82629,0.87915,1.31934,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058
